FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
040101;0100;2;;;
040101;0200;2;;;
040101;0300;2;;;
040101;0400;2;;;
040101;0500;2;;;
040101;0600;3;;;
040101;0700;10;;;
040101;0800;24;;;
040101;0900;49;;;
040101;1000;77;;;
040101;1100;70;;;
040101;1200;69;;;
040101;1300;62;;;
040101;1400;58;;;
040101;1500;56;;;
040101;1600;51;;;
040101;1700;43;;;
040101;1800;36;;;
040101;1900;28;;;
040101;2000;19;;;
040101;2100;16;;;
040101;2200;12;;;
040101;2300;11;;;
040102;0000;10;;;
040102;0100;4;;;
040102;0200;2;;;
040102;0300;2;;;
040102;0400;2;;;
040102;0500;2;;;
040102;0600;3;;;
040102;0700;4;;;
040102;0800;10;;;
040102;0900;23;;;
040102;1000;44;;;
040102;1100;77;;;
040102;1200;68;;;
040102;1300;61;;;
040102;1400;61;;;
040102;1500;58;;;
040102;1600;53;;;
040102;1700;43;;;
040102;1800;37;;;
040102;1900;28;;;
040102;2000;22;;;
040102;2100;19;;;
040102;2200;23;;;
040102;2300;20;;;
040103;0000;14;;;
040103;0100;3;;;
040103;0200;2;;;
040103;0300;2;;;
040103;0400;2;;;
040103;0500;2;;;
040103;0600;3;;;
040103;0700;8;;;
040103;0800;24;;;
040103;0900;40;;;
040103;1000;56;;;
040103;1100;69;;;
040103;1200;56;;;
040103;1300;58;;;
040103;1400;59;;;
040103;1500;56;;;
040103;1600;53;;;
040103;1700;42;;;
040103;1800;36;;;
040103;1900;27;;;
040103;2000;18;;;
040103;2100;17;;;
040103;2200;9;;;
040103;2300;12;;;
040104;0000;6;;;
040104;0100;2;;;
040104;0200;2;;;
040104;0300;2;;;
040104;0400;2;;;
040104;0500;2;;;
040104;0600;3;;;
040104;0700;8;;;
040104;0800;16;;;
040104;0900;31;;;
040104;1000;47;;;
040104;1100;59;;;
040104;1200;55;;;
040104;1300;57;;;
040104;1400;51;;;
040104;1500;47;;;
040104;1600;44;;;
040104;1700;38;;;
040104;1800;31;;;
040104;1900;25;;;
040104;2000;21;;;
040104;2100;16;;;
040104;2200;16;;;
040104;2300;16;;;
040105;0000;7;;;
040105;0100;5;;;
040105;0200;5;;;
040105;0300;2;;;
040105;0400;2;;;
040105;0500;2;;;
040105;0600;2;;;
040105;0700;6;;;
040105;0800;18;;;
040105;0900;30;;;
040105;1000;40;;;
040105;1100;53;;;
040105;1200;60;;;
040105;1300;63;;;
040105;1400;64;;;
040105;1500;61;;;
040105;1600;56;;;
040105;1700;43;;;
040105;1800;36;;;
040105;1900;25;;;
040105;2000;14;;;
040105;2100;11;;;
040105;2200;6;;;
040105;2300;4;;;
040106;0000;11;;;
040106;0100;5;;;
040106;0200;6;;;
040106;0300;6;;;
040106;0400;2;;;
040106;0500;2;;;
040106;0600;3;;;
040106;0700;6;;;
040106;0800;17;;;
040106;0900;35;;;
040106;1000;51;;;
040106;1100;60;;;
040106;1200;60;;;
040106;1300;55;;;
040106;1400;49;;;
040106;1500;44;;;
040106;1600;39;;;
040106;1700;34;;;
040106;1800;29;;;
040106;1900;21;;;
040106;2000;13;;;
040106;2100;13;;;
040106;2200;13;;;
040106;2300;10;;;
040107;0000;8;;;
040107;0100;3;;;
040107;0200;2;;;
040107;0300;2;;;
040107;0400;2;;;
040107;0500;2;;;
040107;0600;2;;;
040107;0700;5;;;
040107;0800;17;;;
040107;0900;39;;;
040107;1000;46;;;
040107;1100;52;;;
040107;1200;51;;;
040107;1300;50;;;
040107;1400;51;;;
040107;1500;51;;;
040107;1600;47;;;
040107;1700;39;;;
040107;1800;32;;;
040107;1900;22;;;
040107;2000;16;;;
040107;2100;16;;;
040107;2200;16;;;
040107;2300;18;;;
040108;0000;17;;;
040108;0100;15;;;
040108;0200;14;;;
040108;0300;5;;;
040108;0400;2;;;
040108;0500;2;;;
040108;0600;3;;;
040108;0700;6;;;
040108;0800;18;;;
040108;0900;27;;;
040108;1000;47;;;
040108;1100;46;;;
040108;1200;50;;;
040108;1300;46;;;
040108;1400;45;;;
040108;1500;48;;;
040108;1600;48;;;
040108;1700;43;;;
040108;1800;35;;;
040108;1900;26;;;
040108;2000;18;;;
040108;2100;14;;;
040108;2200;14;;;
040108;2300;13;;;
040109;0000;10;;;
040109;0100;4;;;
040109;0200;2;;;
040109;0300;4;;;
040109;0400;2;;;
040109;0500;2;;;
040109;0600;3;;;
040109;0700;4;;;
040109;0800;9;;;
040109;0900;26;;;
040109;1000;49;;;
040109;1100;67;;;
040109;1200;66;;;
040109;1300;61;;;
040109;1400;64;;;
040109;1500;61;;;
040109;1600;50;;;
040109;1700;45;;;
040109;1800;39;;;
040109;1900;27;;;
040109;2000;15;;;
040109;2100;10;;;
040109;2200;11;;;
040109;2300;8;;;
040110;0000;5;;;
040110;0100;2;;;
040110;0200;2;;;
040110;0300;2;;;
040110;0400;2;;;
040110;0500;2;;;
040110;0600;3;;;
040110;0700;6;;;
040110;0800;15;;;
040110;0900;31;;;
040110;1000;51;;;
040110;1100;66;;;
040110;1200;62;;;
040110;1300;60;;;
040110;1400;56;;;
040110;1500;49;;;
040110;1600;48;;;
040110;1700;45;;;
040110;1800;38;;;
040110;1900;30;;;
040110;2000;16;;;
040110;2100;9;;;
040110;2200;3;;;
040110;2300;2;;;
040111;0000;3;;;
040111;0100;2;;;
040111;0200;2;;;
040111;0300;2;;;
040111;0400;2;;;
040111;0500;2;;;
040111;0600;4;;;
040111;0700;8;;;
040111;0800;29;;;
040111;0900;45;;;
040111;1000;64;;;
040111;1100;74;;;
040111;1200;67;;;
040111;1300;61;;;
040111;1400;56;;;
040111;1500;54;;;
040111;1600;53;;;
040111;1700;49;;;
040111;1800;43;;;
040111;1900;33;;;
040111;2000;26;;;
040111;2100;20;;;
040111;2200;11;;;
040111;2300;14;;;
040112;0000;18;;;
040112;0100;18;;;
040112;0200;15;;;
040112;0300;7;;;
040112;0400;4;;;
040112;0500;2;;;
040112;0600;3;;;
040112;0700;4;;;
040112;0800;14;;;
040112;0900;25;;;
040112;1000;49;;;
040112;1100;52;;;
040112;1200;55;;;
040112;1300;56;;;
040112;1400;52;;;
040112;1500;56;;;
040112;1600;52;;;
040112;1700;45;;;
040112;1800;33;;;
040112;1900;24;;;
040112;2000;19;;;
040112;2100;18;;;
040112;2200;12;;;
040112;2300;11;;;
040113;0000;18;;;
040113;0100;11;;;
040113;0200;6;;;
040113;0300;2;;;
040113;0400;2;;;
040113;0500;2;;;
040113;0600;3;;;
040113;0700;5;;;
040113;0800;11;;;
040113;0900;28;;;
040113;1000;46;;;
040113;1100;63;;;
040113;1200;66;;;
040113;1300;55;;;
040113;1400;45;;;
040113;1500;41;;;
040113;1600;41;;;
040113;1700;39;;;
040113;1800;31;;;
040113;1900;26;;;
040113;2000;21;;;
040113;2100;17;;;
040113;2200;12;;;
040113;2300;11;;;
040114;0000;8;;;
040114;0100;8;;;
040114;0200;9;;;
040114;0300;4;;;
040114;0400;2;;;
040114;0500;2;;;
040114;0600;3;;;
040114;0700;6;;;
040114;0800;16;;;
040114;0900;30;;;
040114;1000;43;;;
040114;1100;45;;;
040114;1200;48;;;
040114;1300;42;;;
040114;1400;43;;;
040114;1500;44;;;
040114;1600;43;;;
040114;1700;38;;;
040114;1800;35;;;
040114;1900;29;;;
040114;2000;15;;;
040114;2100;11;;;
040114;2200;10;;;
040114;2300;6;;;
040115;0000;2;;;
040115;0100;5;;;
040115;0200;9;;;
040115;0300;13;;;
040115;0400;12;;;
040115;0500;7;;;
040115;0600;4;;;
040115;0700;5;;;
040115;0800;8;;;
040115;0900;12;;;
040115;1000;20;;;
040115;1100;29;;;
040115;1200;37;;;
040115;1300;41;;;
040115;1400;49;;;
040115;1500;50;;;
040115;1600;39;;;
040115;1700;28;;;
040115;1800;21;;;
040115;1900;17;;;
040115;2000;13;;;
040115;2100;12;;;
040115;2200;14;;;
040115;2300;13;;;
040116;0000;9;;;
040116;0100;13;;;
040116;0200;13;;;
040116;0300;11;;;
040116;0400;14;;;
040116;0500;2;;;
040116;0600;4;;;
040116;0700;5;;;
040116;0800;11;;;
040116;0900;18;;;
040116;1000;31;;;
040116;1100;42;;;
040116;1200;42;;;
040116;1300;44;;;
040116;1400;44;;;
040116;1500;43;;;
040116;1600;40;;;
040116;1700;33;;;
040116;1800;24;;;
040116;1900;18;;;
040116;2000;12;;;
040116;2100;8;;;
040116;2200;4;;;
040116;2300;2;;;
040117;0000;3;;;
040117;0100;2;;;
040117;0200;3;;;
040117;0300;5;;;
040117;0400;5;;;
040117;0500;2;;;
040117;0600;3;;;
040117;0700;7;;;
040117;0800;11;;;
040117;0900;21;;;
040117;1000;40;;;
040117;1100;64;;;
040117;1200;71;;;
040117;1300;53;;;
040117;1400;44;;;
040117;1500;43;;;
040117;1600;37;;;
040117;1700;35;;;
040117;1800;32;;;
040117;1900;25;;;
040117;2000;19;;;
040117;2100;13;;;
040117;2200;11;;;
040117;2300;14;;;
040118;0000;15;;;
040118;0100;12;;;
040118;0200;12;;;
040118;0300;9;;;
040118;0400;9;;;
040118;0500;5;;;
040118;0600;3;;;
040118;0700;7;;;
040118;0800;13;;;
040118;0900;27;;;
040118;1000;41;;;
040118;1100;61;;;
040118;1200;53;;;
040118;1300;47;;;
040118;1400;45;;;
040118;1500;41;;;
040118;1600;29;;;
040118;1700;26;;;
040118;1800;24;;;
040118;1900;21;;;
040118;2000;15;;;
040118;2100;11;;;
040118;2200;10;;;
040118;2300;8;;;
040119;0000;10;;;
040119;0100;7;;;
040119;0200;2;;;
040119;0300;2;;;
040119;0400;2;;;
040119;0500;2;;;
040119;0600;2;;;
040119;0700;4;;;
040119;0800;9;;;
040119;0900;21;;;
040119;1000;51;;;
040119;1100;57;;;
040119;1200;54;;;
040119;1300;51;;;
040119;1400;52;;;
040119;1500;51;;;
040119;1600;47;;;
040119;1700;36;;;
040119;1800;29;;;
040119;1900;19;;;
040119;2000;15;;;
040119;2100;12;;;
040119;2200;13;;;
040119;2300;11;;;
040120;0000;13;;;
040120;0100;12;;;
040120;0200;12;;;
040120;0300;11;;;
040120;0400;8;;;
040120;0500;3;;;
040120;0600;3;;;
040120;0700;5;;;
040120;0800;8;;;
040120;0900;30;;;
040120;1000;53;;;
040120;1100;58;;;
040120;1200;50;;;
040120;1300;54;;;
040120;1400;56;;;
040120;1500;53;;;
040120;1600;46;;;
040120;1700;39;;;
040120;1800;32;;;
040120;1900;25;;;
040120;2000;16;;;
040120;2100;13;;;
040120;2200;11;;;
040120;2300;12;;;
040121;0000;15;;;
040121;0100;11;;;
040121;0200;5;;;
040121;0300;3;;;
040121;0400;2;;;
040121;0500;2;;;
040121;0600;2;;;
040121;0700;4;;;
040121;0800;11;;;
040121;0900;24;;;
040121;1000;37;;;
040121;1100;58;;;
040121;1200;71;;;
040121;1300;54;;;
040121;1400;49;;;
040121;1500;47;;;
040121;1600;45;;;
040121;1700;37;;;
040121;1800;30;;;
040121;1900;25;;;
040121;2000;19;;;
040121;2100;20;;;
040121;2200;20;;;
040121;2300;20;;;
040122;0000;4;;;
040122;0100;3;;;
040122;0200;5;;;
040122;0300;8;;;
040122;0400;5;;;
040122;0500;3;;;
040122;0600;3;;;
040122;0700;4;;;
040122;0800;14;;;
040122;0900;23;;;
040122;1000;32;;;
040122;1100;51;;;
040122;1200;46;;;
040122;1300;45;;;
040122;1400;45;;;
040122;1500;46;;;
040122;1600;43;;;
040122;1700;37;;;
040122;1800;29;;;
040122;1900;25;;;
040122;2000;23;;;
040122;2100;19;;;
040122;2200;18;;;
040122;2300;19;;;
040123;0000;20;;;
040123;0100;18;;;
040123;0200;9;;;
040123;0300;2;;;
040123;0400;2;;;
040123;0500;2;;;
040123;0600;2;;;
040123;0700;5;;;
040123;0800;12;;;
040123;0900;28;;;
040123;1000;42;;;
040123;1100;52;;;
040123;1200;57;;;
040123;1300;47;;;
040123;1400;48;;;
040123;1500;52;;;
040123;1600;48;;;
040123;1700;39;;;
040123;1800;31;;;
040123;1900;23;;;
040123;2000;12;;;
040123;2100;9;;;
040123;2200;11;;;
040123;2300;6;;;
040124;0000;8;;;
040124;0100;4;;;
040124;0200;2;;;
040124;0300;2;;;
040124;0400;2;;;
040124;0500;2;;;
040124;0600;2;;;
040124;0700;5;;;
040124;0800;14;;;
040124;0900;22;;;
040124;1000;39;;;
040124;1100;58;;;
040124;1200;62;;;
040124;1300;58;;;
040124;1400;50;;;
040124;1500;45;;;
040124;1600;40;;;
040124;1700;36;;;
040124;1800;33;;;
040124;1900;26;;;
040124;2000;16;;;
040124;2100;10;;;
040124;2200;12;;;
040124;2300;7;;;
040125;0000;2;;;
040125;0100;2;;;
040125;0200;2;;;
040125;0300;2;;;
040125;0400;2;;;
040125;0500;2;;;
040125;0600;3;;;
040125;0700;4;;;
