FECHA (YYMMDD);HORA (HHMM);Registros validados;
040101;0100;68,75;
040101;0200;75,1664;
040101;0300;78,9164;
040101;0400;82,25;
040101;0500;84,0833;
040101;0600;74,0833;
040101;0700;60,8333;
040101;0800;54,1666;
040101;0900;46,5;
040101;1000;40,6666;
040101;1100;38,5;
040101;1200;38,5833;
040101;1300;36,4166;
040101;1400;35;
040101;1500;34,9166;
040101;1600;34,6666;
040101;1700;36,6666;
040101;1800;40,8333;
040101;1900;46,1666;
040101;2000;53,6666;
040101;2100;55,3333;
040101;2200;56,75;
040101;2300;59,25;
040102;0000;61,9166;
040102;0100;68,5833;
040102;0200;74,0833;
040102;0300;76,25;
040102;0400;78;
040102;0500;79,0833;
040102;0600;70,75;
040102;0700;58,8333;
040102;0800;51,5;
040102;0900;45,1666;
040102;1000;38,5833;
040102;1100;35,5;
040102;1200;33,6666;
040102;1300;25,1667;
040102;1400;27,8333;
040102;1500;27,5833;
040102;1600;27,75;
040102;1700;29,5;
040102;1800;34,4166;
040102;1900;41,3333;
040102;2000;46,3333;
040102;2100;46,1666;
040102;2200;48,25;
040102;2300;49,1666;
040103;0000;50,5;
040103;0100;59,4166;
040103;0200;73;
040103;0300;76,8333;
040103;0400;79,3333;
040103;0500;80,6664;
040103;0600;71,1664;
040103;0700;58,0833;
040103;0800;48,5833;
040103;0900;41,4166;
040103;1000;37,0833;
040103;1100;34,25;
040103;1200;35,4166;
040103;1300;31,3333;
040103;1400;28,6667;
040103;1500;22,6667;
040103;1600;19,25;
040103;1700;26,75;
040103;1800;29,1667;
040103;1900;38,0833;
040103;2000;47,0833;
040103;2100;50,5833;
040103;2200;53;
040103;2300;57,5;
040104;0000;64,6664;
040104;0100;72,6664;
040104;0200;78,75;
040104;0300;82,9164;
040104;0400;86,1664;
040104;0500;86,5833;
040104;0600;80,5;
040104;0700;64,9164;
040104;0800;60,1666;
040104;0900;49,5833;
040104;1000;42,25;
040104;1100;39,5833;
040104;1200;38,6666;
040104;1300;37,25;
040104;1400;37,5;
040104;1500;34,5;
040104;1600;34,6666;
040104;1700;38,6666;
040104;1800;42,75;
040104;1900;46,9166;
040104;2000;52,0833;
040104;2100;57,0833;
040104;2200;60,0833;
040104;2300;61,4166;
040105;0000;64,1664;
040105;0100;67;
040105;0200;70,0833;
040105;0300;75,5;
040105;0400;76,75;
040105;0500;78,5833;
040105;0600;70,25;
040105;0700;60,5;
040105;0800;52,4166;
040105;0900;43,0833;
040105;1000;38,8333;
040105;1100;34,6666;
040105;1200;34,0833;
040105;1300;32,5833;
040105;1400;31,4167;
040105;1500;31,3333;
040105;1600;30,3333;
040105;1700;30,75;
040105;1800;29,0833;
040105;1900;31,0833;
040105;2000;33;
040105;2100;38;
040105;2200;42,5833;
040105;2300;46,1666;
040106;0000;49,75;
040106;0100;52,75;
040106;0200;57,4166;
040106;0300;63,9166;
040106;0400;64,4164;
040106;0500;66,1664;
040106;0600;62,75;
040106;0700;50,0833;
040106;0800;44,75;
040106;0900;38,8333;
040106;1000;33,75;
040106;1100;32,5833;
