FECHA (YYMMDD);HORA (HHMM);Registros validados;
040101;0100;17,4916;
040101;0200;16,4167;
040101;0300;15,6416;
040101;0400;14,8833;
040101;0500;14,5333;
040101;0600;17,1917;
040101;0700;20,375;
040101;0800;22,4666;
040101;0900;24,6917;
040101;1000;27,1666;
040101;1100;28,55;
040101;1200;28,9666;
040101;1300;29,55;
040101;1400;30,025;
040101;1500;30,1416;
040101;1600;29,5166;
040101;1700;28,2666;
040101;1800;26,4666;
040101;1900;24,0166;
040101;2000;21,8167;
040101;2100;20,7916;
040101;2200;20,1583;
040101;2300;19,325;
040102;0000;18,475;
040102;0100;17,25;
040102;0200;16,1833;
040102;0300;15,7083;
040102;0400;15,3333;
040102;0500;15,0833;
040102;0600;17,2916;
040102;0700;20,5083;
040102;0800;23,225;
040102;0900;25,5166;
040102;1000;27,9666;
040102;1100;29,9333;
040102;1200;30,975;
040102;1300;31,6083;
040102;1400;32,1583;
040102;1500;32,075;
040102;1600;31,425;
040102;1700;29,9833;
040102;1800;27,9666;
040102;1900;25,1;
040102;2000;22,4167;
040102;2100;21,5;
040102;2200;20,8583;
040102;2300;20,1416;
040103;0000;19,7166;
040103;0100;18,1667;
040103;0200;16,05;
040103;0300;15,3583;
040103;0400;14,8833;
040103;0500;14,625;
040103;0600;17,125;
040103;0700;20,3416;
040103;0800;22,9833;
040103;0900;25,6333;
040103;1000;27,725;
040103;1100;29,6083;
040103;1200;29,9167;
040103;1300;31,125;
040103;1400;31,4333;
040103;1500;31,5083;
040103;1600;31,0083;
040103;1700;29,9916;
040103;1800;28,0833;
040103;1900;25,0083;
040103;2000;22,075;
040103;2100;21,1666;
040103;2200;20,7333;
040103;2300;19,7916;
040104;0000;18,3167;
040104;0100;16,6166;
040104;0200;15,5083;
040104;0300;14,65;
040104;0400;13,9167;
040104;0500;13,8417;
040104;0600;15,0583;
040104;0700;19,275;
040104;0800;21,0916;
040104;0900;24,3083;
040104;1000;26,55;
040104;1100;28,5416;
040104;1200;29,5916;
040104;1300;30,0416;
040104;1400;29,75;
040104;1500;29,45;
040104;1600;29,1583;
040104;1700;27,3167;
040104;1800;25,2416;
040104;1900;22,7833;
040104;2000;20,6083;
040104;2100;19,0667;
040104;2200;17,875;
040104;2300;17,3583;
040105;0000;17,1833;
040105;0100;16,825;
040105;0200;16,075;
040105;0300;14,725;
040105;0400;14,6833;
040105;0500;14,2333;
040105;0600;16,6333;
040105;0700;19,1833;
040105;0800;20,6166;
040105;0900;23,8333;
040105;1000;25,7916;
040105;1100;27,8333;
040105;1200;28,8833;
040105;1300;29,8;
040105;1400;30,4583;
040105;1500;30,5416;
040105;1600;30,625;
040105;1700;29,725;
040105;1800;28,4666;
040105;1900;26,325;
040105;2000;24,2833;
040105;2100;22,55;
040105;2200;21,5333;
040105;2300;20,7583;
040106;0000;19,8916;
040106;0100;19,225;
040106;0200;18,2416;
040106;0300;17,2;
040106;0400;17,0333;
040106;0500;16,525;
040106;0600;17,8333;
040106;0700;21,0583;
040106;0800;22,55;
040106;0900;24,775;
040106;1000;26,825;
040106;1100;27,825;
040106;1200;28,6;
040106;1300;29,8083;
040106;1400;30,05;
040106;1500;29,725;
040106;1600;28,8083;
040106;1700;27,9083;
040106;1800;26,2666;
040106;1900;23,5333;
040106;2000;20,8083;
040106;2100;19,2583;
040106;2200;18,5916;
040106;2300;17,6416;
040107;0000;16,7083;
040107;0100;15,9239;
040107;0200;15,4;
040107;0300;14,925;
040107;0400;14,6917;
040107;0500;14,6083;
040107;0600;16,3083;
040107;0700;19,5916;
040107;0800;21,7083;
040107;0900;24,1583;
040107;1000;26,1333;
040107;1100;26,5667;
040107;1200;27,4833;
040107;1300;28,0916;
040107;1400;28,675;
040107;1500;28,7666;
040107;1600;28,3167;
040107;1700;27,375;
040107;1800;25,8333;
040107;1900;23,3;
040107;2000;21,125;
040107;2100;20,3083;
040107;2200;19,3666;
040107;2300;18,5916;
040108;0000;18,0916;
040108;0100;17,7833;
040108;0200;17,35;
040108;0300;16,8583;
040108;0400;16,0916;
040108;0500;15,5917;
040108;0600;16,3666;
040108;0700;19,6416;
040108;0800;22,6583;
040108;0900;23,625;
040108;1000;25,3083;
040108;1100;25,8333;
040108;1200;26,5333;
040108;1300;26,9;
040108;1400;26,8333;
040108;1500;27,0667;
040108;1600;26,525;
040108;1700;25,7416;
040108;1800;24,9916;
040108;1900;23;
040108;2000;20,9417;
040108;2100;19,6583;
040108;2200;18,9916;
040108;2300;17,9916;
040109;0000;17,6083;
040109;0100;16,8167;
040109;0200;16,025;
040109;0300;15,1083;
040109;0400;14,5583;
040109;0500;14,2417;
040109;0600;15,5917;
040109;0700;18,3666;
040109;0800;20,875;
040109;0900;24,2416;
040109;1000;26,325;
040109;1100;27,2666;
040109;1200;28,6166;
040109;1300;29,5333;
040109;1400;30,4083;
040109;1500;31,1166;
040109;1600;30,65;
040109;1700;30;
040109;1800;29,05;
040109;1900;27,125;
040109;2000;25,05;
040109;2100;23,4916;
040109;2200;22,55;
040109;2300;21,625;
040110;0000;20,7916;
040110;0100;20,0833;
040110;0200;19,5417;
040110;0300;18,5166;
040110;0400;17,9167;
040110;0500;17,125;
040110;0600;18,4583;
040110;0700;21,5333;
040110;0800;23,1166;
040110;0900;25,5583;
040110;1000;28,1583;
040110;1100;29,2;
040110;1200;30,275;
040110;1300;31,1666;
040110;1400;31,8583;
040110;1500;32,5083;
040110;1600;32,3083;
040110;1700;31,525;
040110;1800;30,1083;
040110;1900;28,1333;
040110;2000;25,9583;
040110;2100;24,3666;
040110;2200;23,5333;
040110;2300;22,5083;
