FECHA (YYMMDD);HORA (HHMM);Registros validados;
040101;0100;0,99208;
040101;0200;0,827452;
040101;0300;0,653499;
040101;0400;0,762239;
040101;0500;0,495938;
040101;0600;0,425234;
040101;0700;0,832211;
040101;0800;0,941216;
040101;0900;0,882314;
040101;1000;0,918629;
040101;1100;1,92919;
040101;1200;2,66706;
040101;1300;3,33832;
040101;1400;3,42297;
040101;1500;3,6264;
040101;1600;3,50972;
040101;1700;3,41647;
040101;1800;3,01423;
040101;1900;2,80371;
040101;2000;2,36887;
040101;2100;1,71657;
040101;2200;0,77423;
040101;2300;1,10173;
040102;0000;1,10125;
040102;0100;0,803353;
040102;0200;0,61288;
040102;0300;0,720222;
040102;0400;0,502216;
040102;0500;0,494617;
040102;0600;0,379273;
040102;0700;0,848601;
040102;0800;0,989522;
040102;0900;1,32937;
040102;1000;0,996062;
040102;1100;1,35601;
040102;1200;2,30343;
040102;1300;3,2502;
040102;1400;3,28754;
040102;1500;3,65624;
040102;1600;3,68272;
040102;1700;3,46522;
040102;1800;3,14409;
040102;1900;2,63844;
040102;2000;2,53172;
040102;2100;1,76469;
040102;2200;1,70241;
040102;2300;1,13158;
040103;0000;0,843987;
040103;0100;0,916452;
040103;0200;0,938948;
040103;0300;0,681356;
040103;0400;0,712485;
040103;0500;0,565176;
040103;0600;0,572289;
040103;0700;1,02951;
040103;0800;1,17607;
040103;0900;1,07189;
040103;1000;1,52185;
040103;1100;1,99077;
040103;1200;3,36079;
040103;1300;3,16374;
040103;1400;3,32987;
040103;1500;3,56895;
040103;1600;4,15524;
040103;1700;3,33443;
040103;1800;2,90022;
040103;1900;2,75764;
040103;2000;2,72339;
040103;2100;1,70758;
040103;2200;1,40305;
040103;2300;0,973795;
040104;0000;1,27214;
040104;0100;0,973506;
040104;0200;1,03746;
040104;0300;0,850957;
040104;0400;0,845325;
040104;0500;0,72934;
040104;0600;0,802871;
040104;0700;0,731765;
040104;0800;1,3135;
040104;0900;0,990674;
040104;1000;1,46922;
040104;1100;1,51403;
040104;1200;2,74908;
040104;1300;3,0016;
040104;1400;3,87949;
040104;1500;3,84532;
040104;1600;3,56731;
040104;1700;3,77382;
040104;1800;3,3675;
040104;1900;3,36163;
040104;2000;3,10426;
040104;2100;2,09201;
040104;2200;2,27225;
040104;2300;1,50866;
040105;0000;0,836491;
040105;0100;0,645509;
040105;0200;0,898058;
040105;0300;0,686522;
040105;0400;0,694139;
040105;0500;0,640779;
040105;0600;0,393993;
040105;0700;1,49056;
040105;0800;0,480443;
040105;0900;0,45722;
040105;1000;1,18237;
040105;1100;1,66189;
040105;1200;1,86289;
040105;1300;2,44592;
040105;1400;2,79643;
040105;1500;3,24413;
040105;1600;3,41264;
040105;1700;3,62712;
040105;1800;3,10878;
040105;1900;2,40797;
040105;2000;1,51345;
040105;2100;1,32458;
040105;2200;1,46186;
040105;2300;1,05183;
040106;0000;1,36996;
040106;0100;1,21762;
040106;0200;0,843528;
040106;0300;0,422598;
040106;0400;0,435884;
040106;0500;0,658648;
040106;0600;0,388302;
040106;0700;0,866736;
040106;0800;1,56363;
040106;0900;1,5129;
040106;1000;1,55233;
040106;1100;2,445;
040106;1200;3,13856;
040106;1300;3,109;
040106;1400;3,40458;
040106;1500;3,63586;
040106;1600;3,73435;
040106;1700;3,40114;
040106;1800;3,45845;
040106;1900;3,01184;
040106;2000;2,37665;
040106;2100;1,81424;
040106;2200;1,30132;
040106;2300;1,27993;
040107;0000;1,23354;
040107;0100;0,860474;
040107;0200;0,812666;
040107;0300;0,618155;
040107;0400;0,580173;
040107;0500;0,702332;
040107;0600;0,846745;
040107;0700;0,830357;
040107;0800;1,10393;
040107;0900;1,27341;
040107;1000;1,77411;
040107;1100;2,58369;
040107;1200;3,18857;
040107;1300;3,28237;
040107;1400;3,43739;
040107;1500;3,54239;
040107;1600;3,5113;
040107;1700;3,2795;
